scene_name,entry_condition,user_message,target,scene_text,funcs
Статус кредитной заявки,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитная заявка
2) статус кредита","Как там мой заем? Не помню, подавал ли.",1,"Подтверждение личности клиента. Проверка текущего статуса заявки. - Используй функцию check_application_status() для получения информации. Генерация уведомления о статусе заявки. - Если статус негативный, предложи альтернативные варианты. Контактная информация для дополнительных вопросов.","[""check_application_status()""]"
Статус заявки на кредит,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитная заявка
2) задолженность по кредиту","Я подал заявку на кредит, как узнать её статус?",1,"Подтверждение данных клиента. Проверка статуса кредитной заявки. - Используй функцию check_application_status() для получения информации. Информирование клиента о результате проверки. Предложение дополнительных услуг, если заявка одобрена.","[""check_application_status()""]"
Получение кредитного предложения,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитные условия
2) улучшение кредитного предложения",Какой у вас баланс на счете?,0,"Подтверждение личной информации клиента. Оценка финансового положения. - Используй функцию assess_financial_status() для анализа. Предложение условий кредитования. - Если необходимо, предоставь информацию о ставках и сроках. Формирование итогового предложения. - Используй функцию generate_credit_offer() для создания предложения.","[""assess_financial_status(), generate_credit_offer()""]"
Досрочное погашение кредита,"Запрос пользователя связан с одним из перечисленных тем:
1) досрочное погашение кредита
2) изменение условий кредита","Я хочу узнать, можно ли передать что-то по кредиту, у меня вопрос.",0,Подтверждение данных клиента. Проверка условий досрочного погашения. - Используй функцию check_early_repayment_terms() для получения информации. Расчет суммы для досрочного погашения. - Используй функцию calculate_early_repayment_amount() для получения данных. Оформление заявления на досрочное погашение. - Используй функцию submit_early_repayment_request() для оформления.,"[""check_early_repayment_terms(), calculate_early_repayment_amount(), submit_early_repayment_request()""]"
Информация о кредитном рейтинге,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитный рейтинг
2) займы и кредиты","Я хочу разобраться с своим кредитом, как мне его улучшить?",1,Подтверждение данных клиента. Проверка кредитного рейтинга. - Используй функцию check_credit_score() для получения информации. Объяснение влияния кредитного рейтинга на условия кредитования. - Предоставь соответствующую информацию. Предложение рекомендаций по улучшению кредитного рейтинга. - Используй функцию suggest_credit_improvement() для рекомендаций.,"[""check_credit_score(), suggest_credit_improvement()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) условия по кредиту",Какой у вас курс доллара на сегодня?,0,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history()"", ""submit_credit_application()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) условия кредитования",Сколько стоит открыть счет в вашем банке?,0,"Сбор информации о заемщике. Оценка финансового состояния. - Используй функцию assess_financial_status() для анализа. Предложение кредитных продуктов. - Если необходимо, предоставь варианты. Подтверждение и отправка заявки. - Используй функцию submit_application() для оформления.","[""assess_financial_status(), submit_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о кредите
2) задолженность по кредиту",Сколько мне платить за этот кредит? Я забыл.,1,Подтверждение данных клиента. Получение информации о текущем кредите. - Используй функцию get_current_credit_info() для получения данных. Предоставление подробностей о задолженности и сроках платежей. Консультация по возможным изменениям условий кредита. - Используй функцию suggest_credit_options() для предложений.,"[""get_current_credit_info(), suggest_credit_options()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) сумма доступного кредита","Нужен кредит, что-то расскажите об этом.",1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history()"", ""submit_credit_application()""]"
Статус кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) статус кредита
2) условия кредита",Сколько я могу снять с моего счета?,0,Подтверждение личности клиента. Проверка текущего статуса кредита. - Используй функцию get_credit_status() для получения информации. Информирование клиента о состоянии кредита. Предложение дальнейших действий в зависимости от статуса.,"[""get_credit_status()""]"
Получение ипотеки,"Запрос пользователя связан с одной из перечисленных тем:
1) кредит
2) ипотека","Нужен кредит на дом, какие условия?",1,"Сбор информации о желаемом объекте недвижимости. Оценка платежеспособности клиента. - Используй функцию assess_client_financials() для получения данных. Подбор наиболее выгодных условий ипотеки. - Если необходимо, предложи варианты. Оформление предварительного одобрения ипотеки. - Используй функцию issue_preapproval() для оформления.","[""assess_client_financials(), issue_preapproval()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредита
2) процентные ставки
3) процесс подачи заявки на кредит",Как я могу получить информацию о кредитах?,1,"Подтверждение личности клиента. Определение доступных кредитных продуктов. - Используй функцию get_available_loan_products() для получения данных. Предоставление условий кредитования. - Если нужно, предложи варианты. Ответ на вопрос клиента по кредитным условиям.","[""get_available_loan_products()""]"
Информация о жилом кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) ипотечный кредит
2) условия получения кредита на жилье",Почему у вас такие высокие проценты по кредитам?,0,Проверка доступных программ кредитования. Расчет приблизительной суммы кредита. - Используй функцию calculate_estimate() для получения информации. Подготовка списка необходимых документов. - Отобрази список. Информирование о сроках рассмотрения заявки.,"[""calculate_estimate()""]"
Изменение лимита кредитной карты,"Запрос пользователя связан с одной из перечисленных тем: 
1) изменение лимита по кредиту
2) увеличение кредитного лимита","Как мне узнать, какая у меня карта?",0,"Подтверждение данных клиента. Проверка текущего лимита и платежеспособности. - Используй функцию check_current_limit() для получения информации. Определение нового лимита. - Если необходимо, предложи варианты. Обработка запроса на изменение лимита. - Используй функцию process_limit_change() для завершения.","[""check_current_limit(), process_limit_change()""]"
Проверка кредитной истории,"Пользователь интересуется своей кредитной историей
Пользователь хочет узнать о состоянии своего кредита","Мне не нравится, что у меня низкий кредит, можешь сказать, почему?",1,"Идентификация клиента. Получение информации о кредитной истории. - Используй функцию fetch_credit_history() для получения данных. Анализ кредитной истории. - Если есть проблемы, предоставь рекомендации. Подготовка отчета о кредитной истории. - Используй функцию generate_credit_report() для оформления.","[""fetch_credit_history(), generate_credit_report()""]"
Получение информации о задолженности,"Запрос пользователя связан с одной из перечисленных тем:
1) задолженность по кредиту
2) состояние счета",У меня тут вопрос про лимит на карте.,0,"Подтверждение личности клиента. Проверка текущего остатка задолженности. - Используй функцию get_debt_balance() для получения информации. Предоставление детализации задолженности. - Если необходимо, покажи список последних транзакций. Предложение вариантов погашения долга. - Используй функцию suggest_repayment_options() для предоставления информации.","[""get_debt_balance(), suggest_repayment_options()""]"
Кредит на жилье,"Запрос пользователя связан с одной из перечисленных тем:
1) ипотека
2) условия получения кредита на жилье",Как дела? У меня есть вопросы по кредитам.,0,"Сбор информации о квартире и ее стоимости. Оценка платежеспособности клиента. - Используй функцию assess_financial_ability() для анализа. Подбор подходящих ипотечных программ. - Если необходимо, предложи варианты. Оформление предварительного решения по кредиту. - Используй функцию issue_preliminary_decision() для выдачи.","[""assess_financial_ability(), issue_preliminary_decision()""]"
Оформление ипотеки,"Запрос пользователя связан с одной из перечисленных тем:
1) ипотечное кредитование
2) условия получения кредита
3) расчёт платежей по кредиту",Почему кредитная ставка такая высокая?,0,"Сбор информации о доходах клиента. Оценка стоимости недвижимости. - Используй функцию evaluate_property_value() для получения данных. Определение подходящих кредитных предложений. - Если необходимо, предложи варианты. Завершение процесса оформления ипотеки. - Используй функцию finalize_mortgage_application() для завершения.","[""evaluate_property_value(), finalize_mortgage_application()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) информация о процентных ставках","Какой процент по кредитам у вас? Я тут только что квартиру купил, и надо все решать.",1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор суммы и сроков кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history(), submit_credit_application()""]"
Статус кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) изменение условий кредита","Мне нужно узнать баланс на моем счете, а про кредит я не спрашивал.",0,"Подтверждение данных клиента. Проверка текущего статуса кредита. - Используй функцию check_loan_status() для получения информации. Обновление информации о кредите, если необходимо. - Если требуется, предложи варианты. Проверка сроков погашения. - Используй функцию check_repayment_terms() для получения данных.","[""check_loan_status(), check_repayment_terms()""]"
Увеличение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) увеличение кредитного лимита
2) условия предоставления кредита",Какой у вас процент по кредитам? Я не планирую брать кредит сейчас.,0,"Подтверждение данных клиента. Проверка текущего кредитного лимита. - Используй функцию check_credit_limit() для получения информации. Оценка финансового состояния клиента. - Если необходимо, предложи дополнительные документы. Обработка запроса на увеличение лимита. - Используй функцию submit_limit_increase_request() для оформления.","[""check_credit_limit(), submit_limit_increase_request()""]"
Оформление займа,"Запрос пользователя связан с одной из перечисленных тем:
1) оформление кредита
2) условия займа","Какой кредит мне дадут, если я захочу занять деньги?",1,"Подтверждение идентификации клиента. Анализ финансового состояния. - Используй функцию assess_financial_status() для получения информации. Определение суммы займа и срока. - Если необходимо, предложи варианты. Оформление документации для займа. - Используй функцию finalize_loan_documentation() для завершения процесса.","[""assess_financial_status(), finalize_loan_documentation()""]"
Оформление кредита на автомобиль,Запрос пользователя связан с одним из перечисленных тем: 1) кредит 2) автокредит 3) покупка автомобиля,"О, а вы можете рассказать о вашей ипотеке?",0,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history(), submit_credit_application()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) оформление кредита
2) получение информации о кредитных условиях","Как насчет кредита, мне нужно узнать об условиях.",1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history(), submit_credit_application()""]"
Изменение лимита кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение кредитного лимита
2) повышение кредитного лимита","Сколько вы даете за кредит? Я хочу, чтобы было больше.",1,Подтверждение данных клиента. Проверка текущего лимита кредита. - Используй функцию check_current_limit() для получения информации. Оценка возможности изменения лимита. - Используй функцию assess_limit_change() для анализа. Оформление запроса на изменение лимита. - Используй функцию submit_limit_change_request() для оформления.,"[""check_current_limit(), assess_limit_change(), submit_limit_change_request()""]"
Изменение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение кредитного лимита
2) увеличение кредитного лимита",Какой у вас сегодня курс доллара?,0,"Подтверждение данных клиента. Проверка текущего кредитного лимита. - Используй функцию check_current_limit() для получения информации. Оценка возможности увеличения лимита. - Если необходимо, предложи варианты. Обработка изменения лимита. - Используй функцию update_credit_limit() для внесения изменений.","[""check_current_limit(), update_credit_limit()""]"
Узнать кредитный лимит,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитный лимит
2) увеличение кредита","Где я могу посмотреть лимит по кредиту? Пожалуйста, дайте ответ.",1,"Проверка личных данных клиента. Анализ текущего кредитного лимита. - Используй функцию get_credit_limit() для получения информации. Оценка возможности увеличения лимита. - Если необходимо, предложи условия. Информирование клиента о результатах. - Используй функцию notify_client() для отправки информации.","[""get_credit_limit(), notify_client()""]"
Кредитный калькулятор,"Запрос пользователя связан с одной из перечисленных тем:
1) расчёт кредита
2) условия займа","Как у вас дела, я хочу узнать о ставках по депозитам.",0,Сбор информации о сумме кредита и сроке его погашения. Расчет ежемесячного платежа. - Используй функцию calculate_monthly_payment() для получения данных. Предоставление информации о процентной ставке и итоговой сумме кредита. Сохранение расчета для дальнейшего использования. - Используй функцию save_calculation() для сохранения.,"[""calculate_monthly_payment(), save_calculation()""]"
Информация о кредитах,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) информация о процентной ставке","Я хочу узнать про кредиты, какие у вас ставки?",1,Подготовка документации для заявки на кредит. Предоставление информации о видах кредитов. - Используй функцию get_loan_types() для получения данных. Рассмотрение условий кредитования. - Подробно обсуди процентные ставки и сроки. Ответ на вопросы клиента о процессе получения кредита.,"[""get_loan_types()""]"
Кредит на жилье,"Запрос пользователя связан с одной из перечисленных тем:
1) кредит на покупку жилья
2) условия по ипотечному кредиту","Я хочу взять кредит на квартиру, расскажите, что для этого нужно?",1,Сбор информации о желаемом объекте недвижимости. Анализ финансовых возможностей клиента. Обсуждение необходимых документов для оформления кредита. Оформление предварительного согласования кредита. - Используй функцию preapproval_credit() для проверки предварительной заявки.,"[""preapproval_credit()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) процентные ставки по кредитам",Почему у вас такие высокие комиссии за переводы?,0,Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Предоставление информации о доступных кредитных продуктах. Оформление предварительной заявки на кредит. - Используй функцию submit_credit_application() для оформления.,"[""check_credit_history(), submit_credit_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) ставки по кредитам",Как получить потребительский кредит?,1,"Запрос данных о желаемой сумме кредита. Определение срока кредита. - Если необходимо, предложи варианты. Проверка наличия необходимых документов. - Используй функцию check_required_documents() для получения информации. Предоставление информации о процентной ставке и условиях. - Если требуется, предложи различные тарифы.","[""check_required_documents()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение условий кредита
2) изменение процентной ставки","Я хочу, чтобы вы поменяли мои условия по кредиту, можно?",1,"Подтверждение данных клиента. Проверка текущих условий кредита. - Используй функцию check_current_conditions() для получения информации. Предложение новых условий кредита. - Если необходимо, предложи варианты. Оформление изменения условий кредита. - Используй функцию submit_conditions_change() для оформления.","[""check_current_conditions(), submit_conditions_change()""]"
Увеличение кредитного лимита,Запрос пользователя связан с одним из перечисленных тем: 1) увеличение кредитного лимита 2) условия для получения кредита,"А вообще, какие у вас большие проценты по вкладам?",0,Подтверждение личных данных клиента. Проверка текущего кредитного лимита и истории. - Используй функцию check_credit_limit() для получения информации. Оценка финансового состояния клиента. - Для этого проведи анализ доходов и расходов. Оформление запроса на увеличение лимита. - Используй функцию submit_limit_increase_request() для оформления.,"[""check_credit_limit(), submit_limit_increase_request()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредита
2) процентная ставка","Что-то мне нужны деньги, может, найдете мне кредит?",1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history()"", ""submit_credit_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о кредите
2) остаток долга
3) условия досрочного погашения","Объясните, пожалуйста, сколько я еще должен банку за этот заем.",1,"Подтверждение данных клиента. Проверка состояния кредита. - Используй функцию check_credit_status() для получения информации. Выяснение условий кредита. - Если есть изменения, уведоми клиента. Предоставление рекомендаций по погашению задолженности. - Используй функцию provide_repayment_advice() для получения информации.","[""check_credit_status(), provide_repayment_advice()""]"
Информация о кредитовании,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) процентные ставки по кредитам",Какой процент по ипотечному кредиту у вас?,1,Определение потребностей клиента в кредите. Проверка текущих акций и специальных условий. - Используй функцию check_current_offers() для получения информации. Предоставление информации о необходимых документах. Оформление предварительного расчета кредита. - Используй функцию calculate_initial_loan_offer() для получения предложения.,"[""check_current_offers(), calculate_initial_loan_offer()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) условия кредитования","Мне нужно узнать, как получить ипотечный кредит.",1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history()"", ""submit_credit_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) ставки по кредитам",Какой процент по ипотечным кредитам?,1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Пresentation of loan options based on client's profile. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history()"", ""submit_credit_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) процентные ставки по кредитам",Какой у вас интернет-банкинг? Я заказывал кредит,0,"Подтверждение личности клиента. Проверка доступных кредитных продуктов. - Используй функцию fetch_credit_products() для получения списка. Предоставление информации о процентных ставках и сроках. - Если необходимо, добавь детализацию. Ответ на вопросы клиента. - Используй функцию answer_client_questions() для обработки запросов.","[""fetch_credit_products(), answer_client_questions()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) оформление кредита
2) условия кредитования","Мне нужно узнать, как оформить потребительский кредит.",1,Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Предоставление информации о доступных кредитах. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.,"[""check_credit_history(), submit_credit_application()""]"
Оформление автокредита,"Запрос пользователя связан с одной из перечисленных тем:
1) кредиты на автомобили
2) условия автокредита",Сколько стоит ваша страховка?,0,"Сбор информации о заемщике. Проверка кредитоспособности. - Используй функцию assess_creditworthiness() для получения информации. Выбор модели автомобиля и условий кредита. - Если необходимо, предложи варианты. Оформление заявки на автокредит. - Используй функцию submit_auto_loan_application() для оформления.","[""assess_creditworthiness(), submit_auto_loan_application()""]"
Кредит на жилье,"Запрос пользователя связан с одной из перечисленных тем:
1) ипотека
2) кредит на жилье
3) условия получения кредита","Мне нужно деньги, чтобы купить дом, расскажите о кредитах.",1,Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Оценка рыночной стоимости недвижимого имущества. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.,"[""check_credit_history(), submit_credit_application()""]"
Получение кредита на жилье,"Запрос пользователя связан с одной из перечисленных тем:
1) ипотечное кредитование
2) процентные ставки по кредитам","Мне нужно узнать, какие условия по ипотечному кредиту на квартиру в Москве.",1,Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Оценка стоимости недвижимости. - Используй функцию evaluate_property() для расчета. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.,"[""check_credit_history(), evaluate_property(), submit_credit_application()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) процентная ставка по кредиту",Какой у вас самый низкий процент по кредиту на автомобиль?,1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history()"", ""submit_credit_application()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитование
2) условия получения кредита","Расскажите о вкладах, пожалуйста.",0,"Сбор информации о клиенте. Проверка кредитного рейтинга. - Используй функцию check_credit_score() для получения данных. Предложение подходящих кредитных продуктов. - Если необходимо, укажи доступные варианты. Финальное подтверждение и отправка заявки. - Используй функцию finalize_application() для оформления.","[""check_credit_score(), finalize_application()""]"
Кредитная история,"Запрос пользователя связан с одной из перечисленных тем:
1) проверка кредитного рейтинга
2) получение информации о кредитной истории","Скажи, какая у меня история кредитов? Я забыл.",1,"Подтверждение идентификации клиента. Получение информации о кредитной истории. - Используй функцию fetch_credit_report() для получения данных. Анализ информации о кредитной истории. - Если есть проблемы, предложи рекомендации. Отправка отчета клиенту. - Используй функцию send_credit_report() для отправки информации.","[""fetch_credit_report(), send_credit_report()""]"
Информация о кредитах,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о текущих кредитах
2) условия получения кредита","Сколько стоит взять кредит? Это чтоб узнать, если много, то не буду.",1,Предоставление информации о доступных кредитных продуктах. Объяснение условий и требований для получения кредита. Расчет примерной ежемесячной выплаты. - Используй функцию calculate_monthly_payment() для получения информации. Сбор необходимых документов для оформления кредита.,"[""calculate_monthly_payment()""]"
Увеличение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) увеличение кредитного лимита
2) условия получения кредита","Мне нужен кредит, дайте больший лимит.",1,Подтверждение данных клиента. Проверка текущего кредитного лимита. Анализ финансового состояния клиента. - Используй функцию analyze_financial_status() для получения информации. Оформление запроса на увеличение лимита. - Используй функцию submit_limit_increase_request() для оформления.,"[""analyze_financial_status(), submit_limit_increase_request()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение процентной ставки
2) изменение срока кредита","Я не хочу менять кредит, мне нужна справка по процентной ставке.",1,"Подтверждение данных клиента. Проверка текущих условий кредита. - Используй функцию check_current_terms() для получения информации. Предложение новых условий кредита. - Если необходимо, предложи варианты. Оформление изменения условий кредита. - Используй функцию update_credit_terms() для изменения.","[""check_current_terms(), update_credit_terms()""]"
