scene_name,entry_condition,user_message,category,target,scene_text,funcs
Консультация по инвестициям,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиционный портфель
2) консультация по акциям","Привет, я ищу банк для открытия счета, не знаю, что выбрать.",Инвестиции,0,Проверка инвестиционных целей клиента. Анализ риск-профиля. - Используй функцию <analyzeRiskProfile()>. Предложение вариантов инвестиционных инструментов. - Функция <suggestInvestmentOptions()>. Обсуждение сроков и ожиданий по доходности. - Функция <discussInvestmentTimeline()>.,"[""analyzeRiskProfile()"", ""suggestInvestmentOptions()"", ""discussInvestmentTimeline()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение условий кредита
2) рефинансирование кредита","У меня возникли проблемы с интернет-банком, помогите!",Кредитование,0,Проверка текущих условий кредита. Оценка финансового положения клиента. - Используй функцию <financial_assessment>. Определение возможных новых условий кредита. - Предложи варианты с использованием функции <terms_offerer>. Согласование новых условий. - Функция <terms_agreement>.,"[""financial_assessment"", ""terms_offerer"", ""terms_agreement""]"
Восстановление доступа к мобильному банкингу,"Запрос пользователя связан с одной из перечисленных тем:
1) забыл пароль к мобильному банкингу
2) проблемы с входом в приложение","Не удается войти, какой пароль нужен? Я не помню.",Мобильный банкинг,1,Проверка данных клиента. Верификация личности. - Используй функцию <verify_identity> Подбор методов восстановления доступа. - Предложи варианты с использованием функции <provide_recovery_options> Согласование выбранных методов. - Функция <confirm_recovery_method>. Оформление восстановления доступа. - Используй функцию <finalize_access_recovery>.,"[""verify_identity"", ""provide_recovery_options"", ""confirm_recovery_method"", ""finalize_access_recovery""]"
Уведомление о подозрительных транзакциях,"Запрос пользователя связан с одной из перечисленных тем:
1) мини-отчет по последним транзакциям
2) вопросы о блокировке счета","В банкомате, наверное, что-то не так, могу ли я проверить баланс?",Безопасность счета,0,Получение информации о транзакциях клиента. Анализ транзакций на предмет подозрительной активности. - Используй функцию <анализТранзакций>. Отправка уведомления клиенту о подозрительных транзакциях. - Функция <отправитьУведомление>. Рекомендация клиенту проверить свои недавние операции. Запрос подтверждения о законности транзакций. - Используй функцию <подтвердитьТранзакцию>.,"[""\u0430\u043d\u0430\u043b\u0438\u0437\u0422\u0440\u0430\u043d\u0437\u0430\u043a\u0446\u0438\u0439"", ""\u043e\u0442\u043f\u0440\u0430\u0432\u0438\u0442\u044c\u0423\u0432\u0435\u0434\u043e\u043c\u043b\u0435\u043d\u0438\u0435"", ""\u043f\u043e\u0434\u0442\u0432\u0435\u0440\u0434\u0438\u0442\u044c\u0422\u0440\u0430\u043d\u0437\u0430\u043a\u0446\u0438\u044e""]"
Восстановление доступа к карте,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка карты
2) восстановление доступа к карте","Я по ошибке заблокировал свою карту, как мне её вернуть?",Проблемы с картами,1,Проверка статуса блокировки карты. Подтверждение личности клиента. - Используй функцию <> Предложение методов восстановления доступа. - Предложи варианты с использованием функции <>. Согласование нового пароля или PIN-кода. Оформление запроса на восстановление доступа. - Используй функцию <>.,"[""check_card_status"", ""verify_identity"", ""offer_recovery_methods""]"
Проверка статуса транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) проверка статуса перевода
2) сверка данных о недавней транзакции",Почему вам важно знать о моем балансе?,Транзакции,0,Сбор информации о транзакции. Проверка статуса транзакции. - Используй функцию <checkTransactionStatus>. Предоставление информации о времени обработки. - Функция <getProcessingTime>. Информирование клиента о возможных задержках. - Функция <notifyDelay>.,"[""checkTransactionStatus"", ""getProcessingTime"", ""notifyDelay""]"
Получение информации о страховом полисе,"Запрос пользователя связан с одной из перечисленных тем:
1) актуальность полиса
2) условия страхования","Вы можете сказать, сколько у меня денег на счете?",Страхование,0,Идентификация клиента. Проверка активных полисов. - Используй функцию <getActivePolicies()>. Предоставление информации о покрытии и условиях. - Функция <getPolicyDetails()>. Ответ на вопрос клиента о возможных изменениях в полисе. Информирование о сроках действия и возможностях продления.,"[""getActivePolicies()"", ""getPolicyDetails()""]"
Консультация по инвестициям в акции,"Запрос пользователя связан с одной из перечисленных тем:
1) покупка акций
2) советы по инвестициям
3) информация о фондовом рынке",Как мне купить акции Tesla?,Инвестиции,1,Проверка инвестиционных целей клиента. Анализ рисковых предпочтений клиента. - Используй функцию <analyzeRiskProfile()>. Предоставление информации о доступных акциях. - Функция <getAvailableStocks()>. Составление индивидуального инвестиционного плана. - Используй функцию <createInvestmentPlan()>.,"[""analyzeRiskProfile()"", ""getAvailableStocks()"", ""createInvestmentPlan()""]"
Информация о потребительском кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) процентные ставки по кредитам","Мне нужно узнать, сколько стоит кредит.",Кредитование,1,Проверка кредитной истории клиента. Определение желаемой суммы кредита. - Используй функцию <calculateLoanAmount> Уточнение срока кредита. - Используй функцию <provideLoanTerms> Предложение процентных ставок. - Функция <offerInterestRates>. Сбор необходимых документов для оформления. - Используй функцию <listRequiredDocuments>,"[""calculateLoanAmount"", ""provideLoanTerms"", ""offerInterestRates"", ""listRequiredDocuments""]"
Информация о кредитном лимите,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитные карты
2) кредитный лимит","Можно узнать, сколько денег на моем счете?",Мобильный банкинг,0,Проверка идентификационных данных клиента. Определение текущего кредитного лимита. - Используй функцию <getCreditLimit()>. Оценка кредитной истории клиента. - Функция <assessCreditHistory()>. Предложение обновленных условий кредитного лимита. - Используй функцию <offerNewLimitOptions()>.,"[""getCreditLimit()"", ""assessCreditHistory()"", ""offerNewLimitOptions()""]"
Обработка подозрительных транзакций,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная транзакция
2) уведомление о подозрительной активности на счете","Я заметил, что на моем счете есть какая-то странная транзакция на сумму 5000 рублей, что это может быть?",Безопасность счета,1,Идентификация транзакции для анализа. Сравнение транзакции с историей клиента. - Используй функцию <compareTransactionHistory>. Оценка риска транзакции. - Используй функцию <assessTransactionRisk>. Принятие решения о блокировке или одобрении транзакции. Уведомление клиента о статусе транзакции.,"[""compareTransactionHistory"", ""assessTransactionRisk""]"
Блокировка банковской карты,"Запрос пользователя связан с одной из перечисленных тем:
1) потеря карты
2) необходимость временной блокировки карты","Хочу поменять адрес в профиле, как это сделать?",Проблемы с картами,0,Проверка идентификации клиента. Определение типа карты для блокировки. - Используй функцию <getCardType>. Подтверждение факта потери карты. - Функция <confirmLoss>. Блокировка карты в системе. - Используй функцию <blockCard>. Уведомление клиента о завершении процедуры блокировки.,"[""getCardType"", ""confirmLoss"", ""blockCard""]"
Информация о транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) уточнение о конкретной транзакции
2) запрос деталей недавней оплаты","Я не знаю, как открыть новый вклад.",Транзакции,0,Проверка идентификации пользователя. Получение истории транзакций. - Используй функцию <getTransactionHistory()> Определение состояния ожидаемых транзакций. Анализ причин задержек. - Используй функцию <analyzeDelayReasons()> Уведомление о возможных рисках транзакций.,"[""getTransactionHistory()"", ""analyzeDelayReasons()""]"
Оформление страхования автомобиля,"Запрос пользователя связан с одной из перечисленных тем:
1) страхование автомобиля
2) информация о полисах страхования","У меня есть вопрос о кредите, могу я получить помощь?",Страхование,0,Сбор необходимой информации о транспортном средстве. Оценка рисков и определение типа страхования. - Используй функцию <оценкаРисков()>. Предложение клиенту различных страховых пакетов. Согласование условий страхования. Оформление полиса. - Используй функцию <оформлениеПолиса()>.,"[""\u043e\u0446\u0435\u043d\u043a\u0430\u0420\u0438\u0441\u043a\u043e\u0432()"", ""\u043e\u0444\u043e\u0440\u043c\u043b\u0435\u043d\u0438\u0435\u041f\u043e\u043b\u0438\u0441\u0430()""]"
Консультация по инвестиционным фондам,"Запрос пользователя связан с одной из следующих тем: инвестиционные фонды
Пользователь затрагивает интерес к альтернативным инвестициям или хочет узнать о вариантах увеличения капитала","Мне нужно узнать, какая у вас зарплатная карта, я надеюсь на хорошую ставку.",Инвестиции,0,Сбор информации о предпочтениях клиента. Анализ рисков и целей инвестирования. Предложение подходящих инвестиционных фондов. - Используй функцию <getInvestmentOptions()>. Обсуждение возможной доходности и сроков. Оформление заявки на выбранный фонд. - Используй функцию <submitInvestmentApplication()>.,"[""getInvestmentOptions()"", ""submitInvestmentApplication()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение процентной ставки
2) изменение срока кредита","Можно узнать, сколько мне осталось платить по кредиту?",Кредитование,0,Проверка идентификационных данных клиента. Оценка текущих условий кредита. - Используй функцию <get_current_loan_terms> Предложение новых условий и вариантов рефинансирования. - Функция <provide_refinancing_options>. Согласование новых условий с клиентом. Оформление изменений в кредитном договоре.,"[""get_current_loan_terms"", ""provide_refinancing_options""]"
Восстановление доступа к мобильному банкингу,"Запрос пользователя связан с одной из перечисленных тем:
1) восстановление пароля
2) проблемы с входом в мобильное приложение","Я забыл пароль от мобильного банкинга, что делать?",Мобильный банкинг,1,Проверка идентификационных данных клиента. Верификация личности через OTP. - Используй функцию <send_otp>. Анализ причин блокировки доступа. Сброс пароля по запросу. - Функция <reset_password>. Подтверждение успешного восстановления доступа.,"[""send_otp"", ""reset_password""]"
Защита счета от мошенничества,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная активность на счете
2) уведомление о возможном мошенничестве","У меня тут какая-то ерунда с деньгами, помогите!",Безопасность счета,1,Проверка активности на счете. Анализ подозрительных транзакций. - Используй функцию <analyzeTransactions> Уведомление клиента о возможных мошеннических действиях. Блокировка счета при подтверждении мошенничества. - Функция <blockAccount>. Возврат средств при выявлении мошенничества.,"[""analyzeTransactions"", ""blockAccount""]"
Безопасность банковской карты,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная транзакция
2) блокировка карты","Как мне узнать, хватает ли денег на счету?",Проблемы с картами,0,Проверка подозрительной активности на карте. Уведомление клиента о блокировке карты. - Используй функцию <send_notification>. Анализ транзакций для выявления необычных действий. - Используй функцию <analyze_transactions>. Предложение клиенту восстановить доступ к карте после подтверждения личности.,"[""send_notification"", ""analyze_transactions""]"
Отмена транзакции,Запрос пользователя связан с одной из перечисленных тем: 1) отмена платёжной транзакции 2) ошибочная транзакция,Как мне изменить свои настройки аккаунта?,Транзакции,0,Проверка статуса транзакции. Подтверждение личности клиента. - Используй функцию <verifyClientIdentity()>. Определение причин отмены транзакции.,"[""verifyClientIdentity()""]"
Получение информации о страховом полисе,"Запрос пользователя связан с одной из перечисленных тем:
1) действующий страховой полис
2) условия страхования","У меня есть страховка, подскажите, какие у меня условия?",Страхование,1,Проверка наличия действующих полисов. Получение деталей полиса. - Используй функцию <getPolicyDetails> Анализ условий страхования. - Предложи варианты с использованием функции <analyzeInsuranceTerms>.,"[""getPolicyDetails"", ""analyzeInsuranceTerms""]"
Обзор инвестиционных продуктов,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиции
2) вклад в акции
3) паевые инвестиционные фонды",Что такое инвестиции? Я не разбираюсь.,Инвестиции,1,Проверка доступных инвестиционных продуктов. Анализ предпочтений клиента. - Используй функцию <analyze_client_preferences()> Сравнение доходностей различных продуктов. - Функция <compare_investment_returns()>. Рекомендация подходящих вариантов. - Функция <recommend_investment_options()>. Подтверждение выбора клиента.,"[""analyze_client_preferences()"", ""compare_investment_returns()"", ""recommend_investment_options()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение процентной ставки
2) перерасчет сроков погашения
3) изменение суммы кредита",Какой у вас курс валюты сегодня? Я в этом не очень разбираюсь.,Кредитование,0,Проверка данных клиента. Анализ текущих условий кредита. - Используй функцию <getCurrentLoanConditions>. Определение желаемых изменений. - Функция <suggestLoanModificationOptions>. Согласование новых условий. - Функция <reviewProposedChanges>. Оформление изменений в кредите.,"[""getCurrentLoanConditions"", ""suggestLoanModificationOptions"", ""reviewProposedChanges""]"
Изменение лимита услуг мобильного банкинга,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение лимита
2) запрос на увеличении лимита услуг","Как узнать, какой у меня лимит на кредит?",Мобильный банкинг,0,Проверка идентификации клиента. Определение текущего лимита. - Используй функцию <getCurrentLimit>. Анализ запросов на изменение лимита. - Используй функцию <analyzeLimitChangeRequests>. Подтверждение нового лимита.,"[""getCurrentLimit"", ""analyzeLimitChangeRequests""]"
Мониторинг транзакций,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительные транзакции
2) несанкционированные списания",Как мне поменять пароль от интернет-банка?,Безопасность счета,0,Проверка истории транзакций клиента. Идентификация подозрительных операций. - Используй функцию <detect_suspicious_transactions>. Анализ геолокации транзакций. - Применить функцию <analyze_transaction_location>. Уведомление клиента о результатах проверки. - Функция <send_alert_to_client>.,"[""detect_suspicious_transactions"", ""analyze_transaction_location"", ""send_alert_to_client""]"
Блокировка банковской карты,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка карты
2) временное ограничение операций по карте","У меня проблемы с интернет-банкингом, не могу зайти.",Проблемы с картами,0,Получение информации о карте клиента. Проверка причины блокировки. Выполнение блокировки карты. - Используй функцию <block_card()>.,"[""block_card()""]"
Статус транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) проверка статуса перевода
2) возврат средств",Какой курс валюты на сегодня?,Транзакции,0,Получение идентификатора транзакции. Проверка статуса транзакции в системе. - Используй функцию <checkTransactionStatus>. Информирование клиента о текущем статусе и возможных задержках.,"[""checkTransactionStatus""]"
Информация о страховых полисах,"Запрос пользователя связан с одной из перечисленных тем:
1) актуальность страхового полиса
2) изменение условий страхования","Привет, мне нужно пополнить баланс на счету, у меня в банке.",Страхование,0,Проверка данных клиента. Получение информации о доступных страховых полисах. - Используй функцию <getAvailablePolicies()>. Обработка запроса на детализацию полиса. - Функция <getPolicyDetails(policyId)>. Выдача рекомендаций по выбору полиса. - Используй функцию <suggestPolicies(coverageType)>.,"[""getAvailablePolicies()"", ""getPolicyDetails(policyId)"", ""suggestPolicies(coverageType)""]"
Консультация по инвестиционным продуктам,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиционные фонды
2) акции и облигации",А есть у вас что-то по кредитам или кредитным картам?,Инвестиции,0,Сбор информации о финансовых целях клиента. Анализ имеющихся активов и рисковых предпочтений. - Используй функцию <analyze_client_assets()> Предложение вариантов инвестиционных продуктов. - Предложи варианты с использованием функции <suggest_investment_options()>. Обсуждение сроков и условий инвестирования.,"[""analyze_client_assets()"", ""suggest_investment_options()""]"
Обработка кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) условия кредитования","Хочу взять кредит, подскажите, что нужно.",Кредитование,1,Проверка кредитной истории клиента. Оценка финансового состояния. - Используй функцию <calculateDebtToIncomeRatio()>. Определение условий кредита. - Предложи варианты с использованием функции <generateLoanOptions()>.,"[""calculateDebtToIncomeRatio()"", ""generateLoanOptions()""]"
Информация о функционале мобильного приложения,"Запрос пользователя связан с одной из перечисленных тем:
1) функции мобильного банкинга
2) доступность приложения для использования",Сколько стоит снять деньги в банкомате?,Мобильный банкинг,0,Определение доступных функций приложения. Показ информации о балансе счета. - Используй функцию <getBalance>. Предоставление подробностей о переводах. - Функция <getTransactionDetails>. Инструктирование по настройке уведомлений. - Функция <setNotifications>. Обзор возможностей безопасности приложения.,"[""getBalance"", ""getTransactionDetails"", ""setNotifications""]"
Проверка транзакций,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная транзакция
2) запрос на блокировку счета","Мне просто интересно, сколько у меня осталось на счете.",Безопасность счета,0,Идентификация клиента. Проверка списка последних транзакций. - Используй функцию <getRecentTransactions()> Анализ подозрительных операций. Уведомление клиента о подозрительных транзакциях. Оформление запроса на блокировку карты. - Используй функцию <blockCard()>,"[""getRecentTransactions()"", ""blockCard()""]"
Блокировка банковской карты,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка карты
2) оповещение о несанкционированных транзакциях",Где можно посмотреть последние новости о банке?,Проблемы с картами,0,Проверка состояния карты клиента. Верификация личности клиента. - Используй функцию <verify_identity()>. Определение причины блокировки. - Предложи варианты с использованием функции <suggest_block_reason()>. Выполнение блокировки карты. - Функция <block_card()>.,"[""verify_identity()"", ""suggest_block_reason()"", ""block_card()""]"
Отмена транзакции,"Запрос пользователя связан с одной из перечисленных тем: 
1) отмена транзакции
2) возврат средств",Мне нужна информация о ваших кредитных картах.,Транзакции,0,"Получение информации о транзакции, которую необходимо отменить. Проверка статуса транзакции. - Используй функцию <checkTransactionStatus> Подтверждение личности клиента. - Функция <verifyIdentity> Обработка запроса на отмену. - Используй функцию <processCancellationRequest> Уведомление клиента о результате отмены транзакции.","[""checkTransactionStatus"", ""verifyIdentity"", ""processCancellationRequest""]"
Информация о полисе страхования,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о действующем полисе
2) изменение данных в полисе",Сколько стоит ваша жизнь страховка?,Страхование,0,Проверка наличия полиса у клиента. Верификация данных по полису. - Используй функцию <verifyPolicyDetails>. Получение информации о покрытиях полиса. - Применить функцию <getPolicyCoverages>. Предоставление сведений о сроках действия полиса. - Используй функцию <getPolicyValidityDates>.,"[""verifyPolicyDetails"", ""getPolicyCoverages"", ""getPolicyValidityDates""]"
Консультация по инвестиционным продуктам,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиции в акции
2) инвестиции в облигации
3) паевые инвестиционные фонды",Какой фонд акций мне лучше выбрать?,Инвестиции,1,Проверка профиля клиента. Оценка рисков инвестиций. - Используй функцию <evaluateInvestmentRisks()>. Предложение инвестиционных продуктов. - Используй функцию <suggestInvestmentOptions()>. Поддержка клиента в процессе принятия решения. - Функция <provideDecisionSupport()>.,"[""evaluateInvestmentRisks()"", ""suggestInvestmentOptions()"", ""provideDecisionSupport()""]"
Изменение условий кредитования,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение процентной ставки
2) изменение срока кредита","Кредитные истории вас не касаются, мне просто интересно, сколько у вас отделений.",Кредитование,0,Проверка текущих условий кредита. Сбор информации о финансовом состоянии клиента. Определение возможных вариантов изменения условий. - Используй функцию <расчет новых условий кредита>. Согласование новых условий с клиентом.,"[""\u0440\u0430\u0441\u0447\u0435\u0442 \u043d\u043e\u0432\u044b\u0445 \u0443\u0441\u043b\u043e\u0432\u0438\u0439 \u043a\u0440\u0435\u0434\u0438\u0442\u0430""]"
Блокировка мобильного банка,"Запрос пользователя связан с одной из перечисленных тем:
1) необходимость заблокировать доступ к мобильному банкингу
2) подозрение на несанкционированный доступ к аккаунту","У меня возникли вопросы по кредиту, можете объяснить, как его оформить?",Мобильный банкинг,0,Проверка идентификационных данных клиента. Подтверждение причины блокировки. - Используй функцию <get_user_reason>. Оценка состояния счета и активных операций. - Функция <check_account_status>. Оформление блокировки и уведомление клиента. - Используй функцию <notify_blocking>.,"[""get_user_reason"", ""check_account_status"", ""notify_blocking""]"
Блокировка счета при подозрительных транзакциях,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная транзакция
2) необходимость временной блокировки счета","Мне нужно узнать, сколько у меня на счету?",Безопасность счета,0,"Проверка данных клиента. Идентификация подозрительных транзакций. - Используй функцию <identify_suspicious_transactions>. Оценка рисков, связанных с блокировкой. - Применить функцию <assess_lock_risks>. Блокировка счета. - Функция <lock_account>.","[""identify_suspicious_transactions"", ""assess_lock_risks"", ""lock_account""]"
Блокировка карты после утраты,"Запрос пользователя связан с одной из перечисленных тем:
1) потеря карты
2) необходимость заблокировать карту","Я потерял свою карту, как мне ее заблокировать?",Проблемы с картами,1,Проверка информации о клиенте. Подтверждение утраты карты. - Используй функцию <verifyCardLoss> Идентификация последней транзакции. - Функция <getLastTransaction> Блокировка карты. - Применить функцию <blockCard> Информирование клиента о статусе блокировки.,"[""verifyCardLoss"", ""getLastTransaction"", ""blockCard""]"
Информация о транзакциях,"Запрос пользователя связан с одной из перечисленных тем:
1) получение подробной информации о недавних транзакциях
2) уточнение статуса проведенной транзакции",Почему у вас такие высокие процентные ставки?,Транзакции,0,Проверка идентификации пользователя. Получение списка последних транзакций. - Используй функцию <get_transaction_history> Фильтрация транзакций по дате. - Применить функцию <filter_transactions_by_date> Подсчет суммы всех транзакций. - Используй функцию <calculate_total_transactions> Отправка отчета пользователю.,"[""get_transaction_history"", ""filter_transactions_by_date"", ""calculate_total_transactions""]"
Информация о страховом полисе,"Запрос пользователя связан с одной из перечисленных тем:
1) уточнение условий страхового полиса
2) получение информации о сроках действия полиса",Сколько стоит у вас страховка на машину?,Страхование,0,Проверка наличия страхового полиса. Получение данных о полисе. - Используй функцию <getPolicyDetails()> Определение покрываемых рисков. - Примените функцию <getCoverageDetails()>. Расчет стоимости полиса на основе предоставленных данных. - Функция <calculatePremium()>. Предоставление информации о возможности продления полиса. - Используй функцию <checkRenewalOptions()>.,"[""getPolicyDetails()"", ""getCoverageDetails()"", ""calculatePremium()"", ""checkRenewalOptions()""]"
Консультация по инвестициям на фондовом рынке,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиции в акции
2) диверсификация портфеля
3) стратегии долгосрочных вложений",Что вы можете сказать про Инвестирование? Я хочу вложить свои деньги.,Инвестиции,0,Определение инвестиционных целей клиента. Анализ текущего инвестиционного портфеля. - Используй функцию <анализ_портфеля>. Предложение инвестиционных стратегий. - Функция <предложение_стратегий>. Обсуждение рисков и возможностей. - Обсуждение актуальных рыночных условий. Подготовка документов для инвестирования.,"[""\u0430\u043d\u0430\u043b\u0438\u0437_\u043f\u043e\u0440\u0442\u0444\u0435\u043b\u044f"", ""\u043f\u0440\u0435\u0434\u043b\u043e\u0436\u0435\u043d\u0438\u0435_\u0441\u0442\u0440\u0430\u0442\u0435\u0433\u0438\u0439""]"
Информация о кредитном лимите,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о кредитном лимите
2) изменение условий кредита","Я хочу узнать, какие у вас есть предложения по кредитам.",Кредитование,0,Проверка статуса клиента. Сбор информации о текущем кредитном лимите. - Используй функцию <get_current_credit_limit()>. Оценка возможности изменения кредитного лимита. - Функция <assess_credit_limit_change()>. Предоставление информации о доступных кредитных лимитах. - Используй функцию <get_available_credit_limits()>.,"[""get_current_credit_limit()"", ""assess_credit_limit_change()"", ""get_available_credit_limits()""]"
Мониторинг перевода средств,"Запрос пользователя связан с одной из перечисленных тем:
1) статус перевода
2) задержка перевода
3) отмена перевода",Мне нужно сменить адрес проживания в банке.,Мобильный банкинг,0,Получение информации о текущем статусе перевода. Проверка сроков обработки. - Используй функцию <checkProcessingTime> Информирование о возможных задержках. - Предложи варианты с использованием функции <alertDelayOptions>. Отправка уведомления клиенту о статусе. - Функция <sendStatusNotification>.,"[""checkProcessingTime"", ""alertDelayOptions"", ""sendStatusNotification""]"
Анализ подозрительных транзакций,"Запрос пользователя связан с одной из перечисленных тем: 
1) подозрительные транзакции на счете
2) уведомления о необычной активности",Какой у вас курс доллара сегодня?,Безопасность счета,0,Сбор информации о транзакциях. Проверка на наличие мошеннической активности. - Используй функцию <checkFraudActivity()> Анализ поведения клиента. - Применить функцию <analyzeCustomerBehavior()>,"[""checkFraudActivity()"", ""analyzeCustomerBehavior()""]"
Восстановление банковской карты после кражи,"Запрос пользователя связан с одной из перечисленных тем:
1) кража карты
2) подозрительная активность по карте",Вы можете рассказать о тарифах по депозитам?,Проблемы с картами,0,Запрос информации о краже карты. Проверка идентификационных данных клиента. - Используй функцию <verify_identity()>. Блокировка утерянной карты. - Используй функцию <block_card()>. Создание новой карты и отправка клиенту. Подтверждение восстановления карты.,"[""verify_identity()"", ""block_card()""]"
Информация о транзакции,"Запрос пользователя связан с темой транзакций
Пользователь пытается выяснить детали недавней операции по своему счету","Мне не нужны ваши услуги, просто скажите, сколько у меня денег на счете.",Транзакции,0,Проверка идентификации клиента. Получение истории транзакций. - Используй функцию <get_transaction_history>. Анализ сумму транзакции. - Примените функцию <calculate_transaction_summary>. Предоставление информации о статусе транзакции. - Функция <get_transaction_status>. Отправка уведомлений о подозрительных операциях. - Используй функцию <send_alerts>.,"[""get_transaction_history"", ""calculate_transaction_summary"", ""get_transaction_status"", ""send_alerts""]"
